"Abraham, Ralph",RepAbraham
"Roberts, Pat",SenPatRoberts
"Roby, Martha",RepMarthaRoby
"Roe, Phil",DrPhilRoe
"Rogers, Harold",RepHalRogers
"Rogers, Mike",RepMikeRogersAL
"Rooney, Francis",FrancisRooney
"Rose, John W.",RepJohnRose
"Rose, Max",RepMaxRose
"Rouda, Harley",RepHarley
"Rounds, Mike",SenatorRounds
"Rouzer, David",RepDavidRouzer
"Roy, Chip",RepChipRoy
"Roybal-Allard, Lucille",RepRoybalAllard
"Rubio, Marco",marcorubio
"Ruiz, Raul",CongressmanRuiz
"Ruppersberger, C. A. Dutch",Call_Me_Dutch
"Rush, Bobby",RepBobbyRush
"Rutherford, John",JRutherfordFL
"Ryan, Tim",RepTimRyan
"Sablan, Gregorio",#VALUE!
"San Nicolas, Michael",#VALUE!
"Sanders, Bernie",SenatorSanders
"Sarbanes, John",RepSarbanes
"Sasse, Ben",BenSasse
"Scalise, Steve",SteveScalise
"Scanlon, Mary-Gay",RepMGS
"Schakowsky, Jan",janschakowsky
"Schatz, Brian",brianschatz
"Schiff, Adam",RepAdamSchiff
"Schneider, Bradley",RepSchneider
"Schrader, Kurt",RepSchrader
"Schrier, Kim",RepKimSchrier
"Schumer, Chuck",SenSchumer
"Schweikert, David",RepDavid
"Scott, Austin",AustinScottGA08
"Scott, David",repdavidscott
"Scott, Robert",repbobbyscott
"Scott, Tim",SenatorTimScott
"Sensenbrenner, F James Jr",JimPressOffice
"Serrano, José",RepJoseSerrano
"Sewell, Terri A",RepTerriSewell
"Shaheen, Jeanne",SenatorShaheen
"Shalala, Donna",RepShalala
"Shelby, Richard",SenShelby
"Sherman, Brad",BradSherman
"Sherrill, Mikie",RepSherrill
"Shimkus, John",RepShimkus
"Simpson, Mike",CongMikeSimpson
"Sires, Albio",RepSires
"Slotkin, Elissa",HouseDemocrats
"Smith, Adam",RepAdamSmith
"Smith, Adrian",RepAdrianSmith
"Smith, Chris",RepChrisSmith
"Smith, Jason",RepJasonSmith
"Smith, Tina",SenTinaSmith
"Smucker, Lloyd",RepLloyd
"Soto, Darren",USRepDarrenSoto
"Spanberger, Abigail",RepSpanberger
"Spano, Ross",RepRossSpano
"Speier, Jackie",RepSpeier
"Stabenow, Debbie",SenStabenow
"Stanton, Greg",RepGregStanton
"Stauber, Pete",RepPeteStauber
"Stefanik, Elise",RepStefanik
"Steil, Bryan",RepBryanSteil
"Steube, W. Gregory",RepGregSteube
"Stevens, Haley",RepHaleyStevens
"Stewart, Chris",RepChrisStewart
"Stivers, Steve",RepSteveStivers
"Sullivan, Dan",SenDanSullivan
"Suozzi, Tom",Tom_Suozzi
"Swalwell, Eric",RepSwalwell
"Sánchez, Linda",RepLindaSanchez
"Takano, Mark",RepMarkTakano
"Taylor, Van",RepVanTaylor
"Tester, Jon",SenatorTester
"Thompson, Bennie",BennieGThompson
"Thompson, Glenn",CongressmanGT
"Thompson, Mike",RepThompson
"Thornberry, Mac",MacTXPress
"Thune, John",SenJohnThune
"Tillis, Thom",SenThomTillis
"Timmons, William",RepTimmons
"Tipton, Scott",RepTipton
"Titus, Dina",repdinatitus
"Tlaib, Rashida",RepRashida
"Tonko, Paul D.",RepPaulTonko
"Toomey, Pat",SenToomey
"Torres Small, Xochiti",RepTorresSmall
"Torres, Norma",NormaJTorres
"Trahan, Lori",RepLoriTrahan
"Trone, David",RepDavidTrone
"Turner, Michael",RepMikeTurner
"Udall, Tom",SenatorTomUdall
"Underwood, Lauren",RepUnderwood
"Upton, Fred",RepFredUpton
"Van Drew, Jefferson",JeffVanDrew
"Van Hollen, Chris",ChrisVanHollen
"Vargas, Juan",RepJuanVargas
"Veasey, Marc",RepVeasey
"Vela, Filemon",RepFilemonVela
"Velázquez, Nydia",NydiaVelazquez
"Visclosky, Peter",RepVisclosky
"Wagner, Ann",RepAnnWagner
"Walberg, Tim",RepWalberg
"Walden, Greg",repgregwalden
"Walker, Mark",RepMarkWalker
"Walorski, Jackie",RepWalorski
"Waltz, Michael",RepMichaelWaltz
"Warner, Mark",MarkWarner
"Warren, Elizabeth",SenWarren
"Wasserman Schultz, Debbie",RepDWStweets
"Waters, Maxine",MaxineWaters
"Watkins, Steve",Rep_Watkins
"Watson Coleman, Bonnie",RepBWColeman
"Weber, Randy",TXRandy14
"Webster, Daniel",RepWebster
"Welch, Peter",PeterWelch
"Wenstrup, Brad",RepBradWenstrup
"Westerman, Bruce",RepWesterman
"Wexton, Jennifer",RepWexton
"Whitehouse, Sheldon",SenWhitehouse
"Wicker, Roger",SenatorWicker
"Wild, Susan",RepSusanWild
"Williams, Roger",RepRWilliams
"Wilson, Frederica",RepWilson
"Wilson, Joe",RepJoeWilson
"Wittman, Rob",RobWittman
"Womack, Steve",rep_stevewomack
"Woodall, Robert",RepRobWoodall
"Wright, Ron",RepRonWright
"Wyden, Ron",RonWyden
"Yarmuth, John",RepJohnYarmuth
"Yoho, Ted",RepTedYoho
"Young, Don",repdonyoung
"Young, Todd",SenToddYoung
"Zeldin, Lee",RepLeeZeldin
