"Kelly, Robin","$1,006,603"
"Kelly, Trent","$925,455"
"Kennedy, Joe III","$4,415,067"
"Kennedy, John","$2,881,705"
"Khanna, Ro","$2,722,116"
"Kihuen, Ruben","$744,574"
"Kildee, Dan","$1,158,022"
"Kilmer, Derek","$2,349,308"
"Kind, Ron","$2,310,672"
"King, Angus","$4,667,132"
"King, Pete","$1,327,459"
"King, Steven A","$873,305"
"Kinzinger, Adam","$1,821,815"
"Klobuchar, Amy","$8,047,222"
"Knight, Steve","$2,573,689"
"Krishnamoorthi, Raja","$5,242,332"
"Kuster, Ann","$3,345,076"
"Kustoff, David","$1,684,484"
"Kyl, Jon",$0
"Labrador, Raul","$87,850"
"LaHood, Darin","$2,483,377"
"LaMalfa, Doug","$1,028,857"
"Lamb, Conor","$8,989,889"
"Lamborn, Douglas L","$679,456"
"Lance, Leonard","$2,537,776"
"Langevin, Jim","$1,135,330"
"Lankford, James","$626,789"
"Larsen, Rick","$1,147,124"
"Larson, John B","$1,604,275"
"Latta, Robert E","$1,573,523"
"Lawrence, Brenda","$918,508"
"Lawson, Al","$545,839"
"Leahy, Patrick","$455,893"
"Lee, Barbara","$1,839,972"
"Lee, Mike","$660,295"
"Lesko, Debbie","$2,073,430"
"Levin, Sander","$91,287"
"Lewis, Jason","$2,916,211"
"Lewis, John","$3,811,172"
"Lieu, Ted","$1,771,605"
"Lipinski, Daniel","$1,587,076"
"LoBiondo, Frank","$370,539"
"Loebsack, David","$2,053,805"
"Lofgren, Zoe","$1,686,147"
"Long, Billy","$1,526,392"
"Loudermilk, Barry","$845,520"
"Love, Mia","$5,732,989"
"Lowenthal, Alan","$701,798"
"Lowey, Nita M","$1,602,207"
"Lucas, Frank D","$1,078,442"
"Luetkemeyer, Blaine","$2,327,359"
"Lujan, Ben Ray","$1,949,817"
"Lynch, Stephen F","$849,710"
"MacArthur, Thomas","$4,725,104"
"Maloney, Carolyn B","$2,055,099"
"Maloney, Sean Patrick","$2,662,474"
"Manchin, Joe","$8,330,002"
"Marchant, Kenny","$1,238,182"
"Marino, Tom","$788,299"
"Markey, Ed","$2,000,860"
"Marshall, Roger","$1,220,561"
"Massie, Thomas","$373,333"
"Mast, Brian","$6,091,715"
"Masto, Catherine Cortez","$2,205,673"
"Matsui, Doris O","$1,066,880"
"McCarthy, Kevin","$7,986,408"
"McCaskill, Claire","$37,111,559"
"McCaul, Michael","$1,710,583"
"McClintock, Tom","$1,733,024"
"McCollum, Betty","$931,351"
"McConnell, Mitch","$3,688,368"
"McEachin, Donald","$858,271"
"McGovern, James P","$1,170,271"
"McHenry, Patrick","$3,732,272"
"McKinley, David","$1,221,936"
"McNerney, Jerry","$1,220,017"
"McSally, Martha","$21,618,742"
"Meadows, Mark R","$1,795,754"
"Meeks, Gregory W","$1,027,879"
"Menendez, Robert","$9,488,003"
"Meng, Grace","$1,328,552"
"Merkley, Jeff","$3,780,090"
"Messer, Luke","$2,479,850"
"Mitchell, Paul","$719,376"
"Moolenaar, John","$1,168,833"
"Mooney, Alex","$1,835,392"
"Moore, Gwen","$1,036,174"
"Moran, Jerry","$714,985"
"Morelle, Joseph D","$1,880,191"
"Moulton, Seth","$2,368,560"
"Mullin, Markwayne","$1,572,713"
"Murkowski, Lisa","$934,772"
"Murphy, Christopher S","$12,417,885"
"Murphy, Stephanie","$3,190,877"
"Murray, Patty","$1,803,121"
"Nadler, Jerrold","$1,465,404"
"Napolitano, Grace","$409,150"
"Neal, Richard E","$3,554,755"
"Nelson, Bill","$32,016,390"
"Newhouse, Dan","$1,131,484"
"Noem, Kristi","$24,782"
"Nolan, Rick","$610,971"
"Norcross, Don","$2,174,891"
"Norman, Ralph","$2,595,746"
"Norton, Eleanor Holmes","$415,030"
"Nunes, Devin","$12,619,096"
"O'Halleran, Tom","$2,703,036"
"O'Rourke, Beto","$78,979,726"
"Olson, Pete","$1,532,997"
"Palazzo, Steven","$766,678"
"Pallone, Frank Jr","$2,802,832"
"Palmer, Gary","$1,194,140"
